user,player,rank
Rex Echikson,Andrew Nembhard,60
Rex Echikson,Brandon Miller,61
Rex Echikson,Zach LaVine,62
Rex Echikson,Tyler Herro,63
Rex Echikson,Draymond Green,64
Rex Echikson,Brandon Ingram,65
Rex Echikson,DeMar DeRozan,66
Rex Echikson,R.J. Barrett,67
Rex Echikson,Mitchell Robinson,68
Rex Echikson,Jarrett Allen,69
Rex Echikson,Naz Reid,70
Rex Echikson,Luguentz Dort,71
Rex Echikson,Josh Giddey,72
Rex Echikson,Coby White,73
Rex Echikson,Jaden McDaniels,74
Rex Echikson,Alex Caruso,75
Rex Echikson,Herb Jones,76
Rex Echikson,Toumani Camara,77
Rex Echikson,Jalen Duren,78
Rex Echikson,Paul George,79
Rex Echikson,Aaron Nesmith,80
Rex Echikson,Christian Braun,81
Rex Echikson,Jrue Holiday,82
Rex Echikson,Devin Vassell,83
Rex Echikson,Tari Eason,84
Rex Echikson,Kristaps Porzingis,85
Rex Echikson,Payton Pritchard,86
Rex Echikson,C.J. McCollum,87
Rex Echikson,Nickeil Alexander-Walker,88
Rex Echikson,Josh Hart,89
Rex Echikson,John Collins,90
Rex Echikson,Cason Wallace,91
Rex Echikson,"Michael Porter, Jr.",92
Rex Echikson,Myles Turner,93
Rex Echikson,Bradley Beal,94
Rex Echikson,De'Andre Hunter,95
Rex Echikson,Jakob Poeltl,96
Rex Echikson,Walker Kessler,97
Rex Echikson,Dylan Harper,98
Rex Echikson,Stephon Castle,99
Rex Echikson,Jordan Poole,100
Morgan S,Nikola Jokic,1
Morgan S,Giannis Antetokounmpo,2
Morgan S,Shai Gilgeous-Alexander,3
Morgan S,Luka Doncic,4
Morgan S,Jayson Tatum,5
Morgan S,Victor Wembanyama,6
Morgan S,Stephen Curry,7
Morgan S,Kevin Durant,8
Morgan S,Anthony Edwards,9
Morgan S,Donovan Mitchell,10
Morgan S,Jaylen Brown,11
Morgan S,Jalen Williams,12
Morgan S,Tyrese Haliburton,13
Morgan S,Jalen Brunson,14
Morgan S,Evan Mobley,15
Morgan S,Kyrie Irving,16
Morgan S,Damian Lillard,17
Morgan S,Anthony Davis,18
Morgan S,Devin Booker,19
Morgan S,LeBron James,20
Morgan S,Pascal Siakam,21
Morgan S,Paolo Banchero,22
Morgan S,Cade Cunningham,23
Morgan S,Jimmy Butler III,24
Morgan S,Kawhi Leonard,25
Morgan S,Bam Adebayo,26
Morgan S,Derrick White,27
Morgan S,Alperen Sengun,28
Morgan S,James Harden,29
Morgan S,Karl-Anthony Towns,30
Morgan S,Tyrese Maxey,31
Morgan S,Franz Wagner,32
Morgan S,Trae Young,33
Morgan S,Scottie Barnes,34
Morgan S,"Jaren Jackson, Jr.",35
Morgan S,Joel Embiid,36
Morgan S,Chet Holmgren,37
Morgan S,Ja Morant,38
Morgan S,Domantas Sabonis,39
Morgan S,De'Aaron Fox,40
Morgan S,Ivica Zubac,41
Morgan S,Fred VanVleet,42
Morgan S,Amen Thompson,43
Morgan S,Darius Garland,44
Morgan S,Aaron Gordon,45
Morgan S,OG Anunoby,46
Morgan S,Dejounte Murray,47
Morgan S,Julius Randle,48
Morgan S,Desmond Bane,49
Morgan S,Lauri Markkanen,50
Morgan S,Jalen Johnson,51
Morgan S,Jarrett Allen,52
Morgan S,Jamal Murray,53
Morgan S,Mikal Bridges,54
Morgan S,Rudy Gobert,55
Morgan S,Alex Caruso,56
Morgan S,Kristaps Porzingis,57
Morgan S,Dyson Daniels,58
Morgan S,Myles Turner,59
Morgan S,Trey Murphy III,60
Morgan S,Cooper Flagg,61
Morgan S,Jalen Suggs,62
Morgan S,Austin Reaves,63
Morgan S,Isaiah Hartenstein,64
Morgan S,Paul George,65
Morgan S,Zion Williamson,66
Morgan S,Draymond Green,67
Morgan S,Luguentz Dort,68
Morgan S,Tyler Herro,69
Morgan S,Payton Pritchard,70
Morgan S,Christian Braun,71
Morgan S,Aaron Nesmith,72
Morgan S,Coby White,73
Morgan S,LaMelo Ball,74
Morgan S,Deni Avdija,75
Morgan S,"Jabari Smith, Jr.",76
Morgan S,Cameron Johnson,77
Morgan S,Josh Hart,78
Morgan S,Zach LaVine,79
Morgan S,Dereck Lively II,80
Morgan S,"Michael Porter, Jr.",81
Morgan S,Jaden McDaniels,82
Morgan S,Brandon Miller,83
Morgan S,Brandon Ingram,84
Morgan S,Norman Powell,85
Morgan S,Onyeka Okongwu,86
Morgan S,DeMar DeRozan,87
Morgan S,Toumani Camara,88
Morgan S,Andrew Nembhard,89
Morgan S,Jaden Ivey,90
Morgan S,Jrue Holiday,91
Morgan S,Naz Reid,92
Morgan S,Jonas Valanciunas,93
Morgan S,Devin Vassell,94
Morgan S,Zach Edey,95
Morgan S,Stephon Castle,96
Morgan S,Nickeil Alexander-Walker,97
Morgan S,Andrew Wiggins,98
Morgan S,Anfernee Simons,99
Morgan S,Tobias Harris,100
